Date,Close,High,Low,Open,Volume,SMA_7,SMA_30,EMA_14,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility_14,Price_Range,Momentum_10,Target
2008-02-14,907.4000244140625,911.0,904.0,904.0,128,909.9142979213169,897.6799987792969,906.9273542630253,48.667250952525904,7.828502145840844,9.496002594230909,0.0009928564964836184,0.011965986354693254,7.0,-15.29998779296875,0
2008-02-15,902.7999877929688,913.5999755859375,898.7000122070312,910.0999755859375,128,910.2142944335938,898.8933308919271,906.3770387336845,38.35092895644038,6.849203652885421,8.966642805961811,-0.0050694693600699114,0.010769173409121193,14.89996337890625,-5.9000244140625,1
2008-02-19,926.5999755859375,928.7999877929688,900.5,904.2999877929688,174,913.1428658621652,901.0099975585938,909.0734303139849,50.59476559807631,7.902467920774029,8.753807828924256,0.026362414836924586,0.013141046212554002,28.29998779296875,21.699951171875,1
2008-02-20,934.5999755859375,945.0,919.5999755859375,926.5,73,915.4571446010044,903.5099975585938,912.4769696835787,55.40123049796362,9.27579499195997,8.858205261531399,0.008633714883211852,0.01323606099029657,25.4000244140625,48.699951171875,1
2008-02-22,944.7000122070312,948.5,942.5,944.9000244140625,79,924.0999930245536,907.9533304850261,920.6587004798672,64.24050357857163,12.40345922625795,9.93609286814676,-0.0014797203414356197,0.012711274902151294,6.0,38.60003662109375,0
2008-02-25,937.5999755859375,948.9000244140625,933.0,946.5,312,928.5428466796875,909.483329264323,922.9175371606766,62.60598793603406,12.667253256197228,10.482324945756854,-0.007515652089922664,0.01288328598565706,15.9000244140625,19.199951171875,1
2008-02-26,946.0999755859375,949.0,931.2999877929688,931.2999877929688,224,934.0714111328125,911.1499959309896,926.0085289507115,75.25164185493509,13.407636006079088,11.067387157821303,0.009065699894763801,0.011014745338127352,17.70001220703125,23.199951171875,1
2008-02-27,958.2000122070312,960.0,955.0,960.0,215,941.9857003348214,913.0366638183593,930.3007267182209,74.67808572994304,14.800159474978841,11.81394162125281,0.012789384772576406,0.010734233477176051,5.0,50.79998779296875,1
2008-02-28,964.5,972.0999755859375,954.4000244140625,957.4000244140625,238,947.3999895368304,915.153330485026,934.8606298224581,74.87221105036485,16.225068233527736,12.696166943707796,0.006574814978824728,0.010741627267696773,17.699951171875,58.0,1
2008-02-29,972.0999755859375,973.0999755859375,963.5,971.4000244140625,39,952.7571323939732,918.2033304850261,939.8258759242553,73.82427518768162,17.762814535730172,13.709496462112272,0.007879705117612712,0.01047711970857119,9.5999755859375,64.699951171875,1
2008-03-03,981.5,986.9000244140625,979.7000122070312,984.2000122070312,26,957.8142787388393,921.603330485026,945.3824258010213,74.91493491664764,19.515035785178952,14.870604326725609,0.00966981241656395,0.01058154040703402,7.20001220703125,78.70001220703125,0
2008-03-04,963.9000244140625,984.5,963.7999877929688,982.4000244140625,41,960.5571376255581,924.3733317057291,947.8514389494269,73.60065389671246,19.2614784747841,15.748779156337307,-0.017931712262799326,0.01076004105641165,20.70001220703125,37.300048828125,1
2008-03-05,986.2000122070312,992.7000122070312,963.9000244140625,965.0,45,967.5,927.5933329264323,952.9645820504409,78.24237828550517,20.622234839300972,16.72347029293004,0.023135166747738634,0.01172296114439381,28.79998779296875,51.60003662109375,0
2008-03-10,969.9000244140625,976.7999877929688,964.7000122070312,975.5,92,974.4000069754464,934.8800008138021,959.652208151671,66.90088098380495,19.244554977883013,18.251537004423717,-0.0023657557746245006,0.011004003546501452,12.0999755859375,32.300048828125,1
2008-03-11,974.2000122070312,976.7000122070312,971.5,975.7000122070312,12,974.7000122070312,936.4500020345052,961.5919153590523,65.91641811841903,18.73455886381862,18.3481413763027,0.004433434049624374,0.010904904429857894,5.20001220703125,28.10003662109375,1
2008-03-12,978.7999877929688,979.2999877929688,973.5,973.5999755859375,6,974.3142961774554,938.2400024414062,963.8863250169079,63.914906039574696,18.488439631862093,18.37620102741458,0.004721797914492232,0.010592299836289282,5.79998779296875,20.5999755859375,1
